Samples	Label	Sex	Fraction	Comb	Comb2	Comb3	Family	Ab
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Polyporaceae	0.717507175071751
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Filobasidiaceae	0
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Diatrypaceae	0
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Meruliaceae	0
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Erysiphaceae	0
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Phaeosphaeriaceae	0.471504715047151
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Leotiaceae	0.789257892578926
 12CM_4h_heavy	12C	Male	Heavy	4h_Heavy	12CMale	12CM	Other_fungi	53.8232882328823
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Davidiellaceae	26.1070110701107
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Trichocomaceae	8.63058630586306
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Malasseziaceae	9.57359573595736
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Saccharomycetaceae	2.35752357523575
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Pleosporaceae	2.32677326773268
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Corticiaceae	1.00451004510045
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Dothioraceae	2.16277162771628
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Wallemiaceae	0.194751947519475
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Cystofilobasidiaceae	0
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Hymenochaetaceae	0
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Cordycipitaceae	0
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Peniophoraceae	0
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Polyporaceae	0.174251742517425
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Filobasidiaceae	0
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Diatrypaceae	1.0250102501025
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Meruliaceae	0.574005740057401
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Erysiphaceae	0.43050430504305
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Phaeosphaeriaceae	0.4920049200492
 12CM_10h_light	12C	Male	Light	10h_Light	12CMale	12CM	Leotiaceae	0.615006150061501
