OTU	Phylum	Class	Order	Family	Genus	Species
OTU508	Ascomycota	Sordariomycetes	Sordariomycetidae_ord_Incertae_sedis	Glomerellaceae	Colletotrichum	unclassified
OTU509	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Cyathicula	Cyathicula_cyathoidea
OTU510	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU511	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU512	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	unclassified	unclassified
OTU513	Basidiomycota	Agaricomycetes	Agaricales	unclassified	unclassified	unclassified
OTU514	Basidiomycota	Ustilaginomycotina_cls_Incertae_sedis	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
OTU515	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Lodderomyces	Lodderomyces_elongisporus
OTU516	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU517	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Naevala	Naevala_perexigua
OTU518	Basidiomycota	Ustilaginomycotina_cls_Incertae_sedis	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
OTU519	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	unclassified
OTU520	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU521	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU522	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	unclassified
OTU523	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Ceriporia	Ceriporia_lacerata
OTU524	Basidiomycota	Ustilaginomycotina_cls_Incertae_sedis	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
OTU525	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Crepidotus	Crepidotus_applanatus
OTU526	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
